                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.75938,                 1.0583,                 1.2323,                0.44438,                0.56171,                0.49392,                0.34664,                 1.2299,                 1.6993,                 1.7375,             0.00041271,             0.00041271,             0.00041271
                    120,                0.77921,                 1.0859,                 1.2297,                0.56429,                0.51152,                0.52559,                0.38305,                 1.1549,                 1.6554,                 1.6342,             0.00040966,             0.00040966,             0.00040966
                    121,                0.74765,                 1.0409,                 1.2078,                0.57183,                0.47523,                0.51314,                0.36431,                 1.1812,                 1.6843,                 1.7304,             0.00040662,             0.00040662,             0.00040662
                    122,                 0.7764,                 1.0594,                  1.227,                0.56164,                0.44233,                0.51684,                0.36553,                 1.2314,                 1.7151,                 1.7205,             0.00040357,             0.00040357,             0.00040357
                    123,                0.74295,                  1.036,                 1.2019,                0.51727,                0.56741,                0.51143,                0.36633,                 1.1949,                 1.6168,                 1.6957,             0.00040053,             0.00040053,             0.00040053
                    124,                0.73823,                0.98891,                 1.1988,                  0.589,                0.55374,                0.53117,                0.37598,                    1.2,                 1.6581,                 1.6642,             0.00039748,             0.00039748,             0.00039748
                    125,                0.71514,                 1.0099,                 1.2031,                0.52442,                0.59621,                0.55063,                0.39477,                 1.1785,                  1.673,                 1.6865,             0.00039444,             0.00039444,             0.00039444
                    126,                0.73968,                 1.0129,                 1.2163,                0.45786,                0.51099,                0.48216,                0.34512,                 1.1789,                 1.7241,                 1.6891,             0.00039139,             0.00039139,             0.00039139
                    127,                0.74726,                 1.0066,                 1.2305,                0.54824,                0.47109,                0.47465,                0.33357,                 1.2062,                 1.8089,                 1.7315,             0.00038835,             0.00038835,             0.00038835
                    128,                0.70415,                0.96182,                 1.2014,                0.61729,                0.46542,                0.52327,                0.36775,                 1.1932,                 1.6857,                 1.7342,              0.0003853,              0.0003853,              0.0003853
                    129,                0.75147,                 1.0105,                 1.2361,                0.60303,                0.47689,                0.52952,                0.37291,                 1.2014,                 1.6856,                 1.7315,             0.00038225,             0.00038225,             0.00038225
                    130,                0.73664,                0.99729,                  1.211,                0.60325,                0.48946,                0.53136,                0.36875,                 1.1799,                 1.6936,                 1.7583,             0.00037921,             0.00037921,             0.00037921
                    131,                0.71482,                 1.0205,                 1.2115,                0.58167,                0.50517,                0.56626,                0.40146,                 1.1565,                 1.5284,                 1.6848,             0.00037616,             0.00037616,             0.00037616
                    132,                0.70674,                0.92728,                 1.1937,                0.58385,                0.51952,                0.52257,                0.38297,                  1.142,                  1.556,                 1.6577,             0.00037312,             0.00037312,             0.00037312
                    133,                0.72427,                0.94152,                 1.2136,                0.54965,                 0.5141,                0.51686,                0.38049,                 1.1795,                 1.6508,                 1.7031,             0.00037007,             0.00037007,             0.00037007
                    134,                0.70731,                0.93907,                 1.1986,                 0.6711,                0.45141,                0.53211,                0.37947,                 1.1573,                 1.6564,                 1.6712,             0.00036703,             0.00036703,             0.00036703
                    135,                0.71803,                 0.9683,                 1.1985,                0.60076,                0.48465,                0.50931,                0.36725,                 1.1926,                 1.7177,                 1.7192,             0.00036398,             0.00036398,             0.00036398
                    136,                0.68395,                0.92227,                  1.188,                0.57123,                0.53195,                 0.5461,                0.38683,                 1.1752,                 1.5644,                    1.7,             0.00036094,             0.00036094,             0.00036094
                    137,                 0.7049,                0.96536,                 1.1853,                0.54473,                0.49946,                0.51404,                0.36186,                 1.2119,                 1.6085,                 1.7322,             0.00035789,             0.00035789,             0.00035789
                    138,                0.73128,                0.96106,                 1.2079,                 0.5478,                0.51098,                0.53907,                0.37836,                 1.2182,                 1.6248,                 1.7419,             0.00035485,             0.00035485,             0.00035485
                    139,                0.68063,                 0.9253,                 1.1687,                0.62751,                0.47546,                0.54308,                0.40532,                 1.1701,                  1.682,                 1.6617,              0.0003518,              0.0003518,              0.0003518
                    140,                0.71398,                0.96462,                 1.1957,                0.55856,                 0.5268,                0.52851,                0.39008,                  1.182,                 1.6138,                 1.6854,             0.00034876,             0.00034876,             0.00034876
                    141,                0.69998,                 0.8655,                 1.1887,                   0.59,                0.51234,                0.53522,                 0.3724,                 1.2192,                 1.7233,                 1.7343,             0.00034571,             0.00034571,             0.00034571
                    142,                0.70869,                 0.9272,                 1.1748,                0.60041,                0.49319,                0.52228,                0.37123,                 1.2351,                 1.6574,                 1.7637,             0.00034267,             0.00034267,             0.00034267
                    143,                0.71559,                0.91428,                 1.1979,                0.65561,                0.48356,                0.53597,                0.38333,                  1.212,                 1.6613,                 1.7461,             0.00033962,             0.00033962,             0.00033962
                    144,                0.68138,                 0.8863,                 1.1659,                0.65427,                0.48725,                0.55113,                0.40545,                 1.1943,                  1.505,                 1.7695,             0.00033658,             0.00033658,             0.00033658
                    145,                0.68197,                0.90872,                 1.1792,                0.57079,                0.56275,                0.54061,                0.37532,                 1.2429,                 1.6629,                 1.8536,             0.00033353,             0.00033353,             0.00033353
                    146,                0.69166,                 0.9047,                 1.1826,                0.51762,                 0.5332,                0.51907,                0.35418,                 1.2617,                 1.7832,                  1.786,             0.00033049,             0.00033049,             0.00033049
